precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FEEGBEH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_rep_TRUMP,gen_unk_BLUMBERG,gen_unk_KASICH,gen_unk_ROMNEY,gen_unk_RYAN
AUBURNTOTAL,4496,92,0,0,21,0,0,0,553,4000,0,0,0,0
BARNSTABLETOTAL,13005,348,0,0,0,0,0,0,1049,11195,0,0,0,0
BELMONTTOTAL,10252,237,0,0,64,0,65,0,561,3106,8,23,67,6
CHELMSFORDTOTAL,10705,237,0,0,0,0,0,0,1093,7661,0,0,0,0
DEDHAMTOTAL,8621,149,0,0,0,0,0,0,570,4778,0,0,0,0
FALMOUTH1.0,1793,30,0,0,0,0,0,0,80,513,0,0,0,0
FALMOUTH2.0,1386,37,0,0,0,0,0,0,59,707,0,0,0,0
FALMOUTH3.0,1150,22,0,0,3,0,0,0,69,810,0,0,0,0
FALMOUTH4.0,1219,22,0,0,1,0,0,0,83,859,0,0,0,0
FALMOUTH5.0,1349,33,0,0,5,0,0,0,108,886,0,0,0,0
FALMOUTH6.0,1333,29,0,0,1,0,0,0,83,771,0,0,0,0
FALMOUTH7.0,1094,28,0,0,2,0,0,0,81,913,0,0,0,0
FALMOUTH8.0,1070,42,0,0,2,0,0,0,81,907,0,0,0,0
FALMOUTH9.0,1073,30,0,0,0,0,0,0,84,799,0,0,0,0
FALMOUTHNAN,11467,273,0,0,14,0,0,0,728,7165,0,0,0,0
FREETOWNGRAND TOTAL,2035,68,0,0,0,0,0,0,178,2649,0,0,0,0
SOMERSETTOTALS,4901,169,0,0,11,0,54,0,330,4565,0,0,0,0
SPENCERTOTAL,2265,83,0,0,10,0,0,0,296,3045,0,0,0,0
